대업종,구분,2004년 사망만인율,2005년 사망만인율,2006년 사망만인율,2007년 사망만인율,2008년 사망만인율,2009년 사망만인율,2010년 사망만인율,2011년 사망만인율,2012년 사망만인율,2013년 사망만인율,2014년 사망만인율,2015년 사망만인율,2016년 사망만인율,2017년 사망만인율,2018년 사망만인율,2019년 사망만인율,2020년 사망만인율,2021년 사망만인율,2022년 사망만인율,2023년 사망만인율
금융및보험업,금융및보험업,0.79,0.48,0.55,0.62,0.28,0.17,0.27,0.26,0.15,0.32,0.15,0.13,0.12,0.26,0.21,0.15,0.2,0.23,0.2,0.22
광  업,석탄광업및채석업,603.43,598.01,712.84,617.42,611.16,656.15,827.1,755.31,592.71,858.97,974.43,1103.21,1007.92,1244.03,1433.32,1335.79,1521.57,1270.1,1871.08,1876.51
광  업,석회석·금속·비금속광업및기타광업,49.09,49.42,54.35,38.91,51.69,63.97,42.46,48.27,38.73,40.88,48.75,35.81,41.94,50.97,54.09,52.39,52.7,52.35,45.96,49.74
제조업,식료품제조업,1.57,1.89,1.66,1.31,2.47,1.32,1.52,1.28,1.45,1.21,0.87,0.72,0.48,0.47,0.72,0.6,0.76,0.85,0.71,0.49
제조업,섬유및섬유제품제조업,1.69,2.23,1.5,1.94,1.67,1.46,1.24,2.22,0.85,1.11,1.07,0.91,1.57,1.49,1.94,1.23,0.92,1.47,1.69,1.5
제조업,목재및종이제품제조업,2.74,3.39,2.97,2.02,1.93,1.57,3.13,2.34,1.8,1.71,1.59,2.04,1.89,1.28,1,1.55,1.39,0.78,1.63,1.04
제조업,출판·인쇄·제본업,1.22,0.57,0.57,0.65,0.58,0.58,0.29,1.24,0.63,0.18,0.45,0.53,0.35,0.72,0.63,0.18,0.47,0.88,0.49,0.1
제조업,화학및고무제품제조업,2.8,2.01,2.09,1.51,1.7,1.72,1.77,1.56,1.8,1.26,1.08,1.18,0.98,0.85,1.14,1.19,1.19,1.35,1.3,0.82
제조업,의약품·화장품·연탄·석유제품제조업,1.69,2.79,0.75,1.28,1.05,1.74,2.01,2.39,0.74,1.21,1.66,1.17,1.1,1.05,0.97,1.02,0.59,0.57,0.82,1.32
제조업,기계기구·금속·비금속광물제품제조업,2.89,2.64,2.55,2.59,2.41,2.06,2.3,1.84,1.88,1.65,1.51,1.4,1.23,1.4,1.52,1.82,1.7,1.84,1.69,1.76
제조업,금속제련업,4.8,2.69,1.99,0.77,1.07,2.22,3.42,1.21,1.31,2.32,2.01,1.88,0.71,2.17,1.95,0.48,2.58,3.71,2.13,2.65
제조업,전기기계기구·정밀기구·전자제품제조업,0.63,0.64,0.43,0.48,0.54,0.39,0.49,0.18,0.47,0.27,0.29,0.19,0.27,0.34,0.37,0.43,0.27,0.34,0.31,0.24
제조업,선박건조및수리업,3.41,2.26,3.71,3.31,2.97,3.1,2.54,2.62,2.82,1.99,1.71,1.33,1.39,1.46,1.53,2.01,1.95,2.92,3.68,4.01
제조업,수제품및기타제품제조업,1.89,2.62,2.81,3,2.45,2.37,2.44,2.07,1.93,2.01,2.16,1.5,1.72,2.08,1.57,1.15,2.08,1.3,1.97,1.5
전기·가스·증기·수도사업,전기·가스·증기·수도사업,1.38,1.32,2.04,0.93,0.92,1.7,1.11,0.73,0.35,0.49,1.26,0.93,0.41,0.53,0.65,0.65,1.14,0.5,0.38,0.38
건설업,건설업,3.6,2.69,2.38,2.03,1.88,1.67,1.69,1.76,1.78,2.21,1.5,1.47,1.76,1.9,1.94,2.08,2.48,2.32,2.16,2.18
운수·창고·통신업,철도·항공·창고·운수관련서비스업,2.49,1.9,1.7,2.1,2.06,1.54,1.53,1.51,1.32,1.33,1.11,1.1,1.03,0.99,1.09,0.91,0.75,0.97,1.03,0.99
운수·창고·통신업,육상및수상운수업,4.09,3.57,2.83,2.78,3.16,2.19,2.11,2.19,2.37,2.43,2.13,2.55,2.43,2.22,2.87,2.98,2.95,2.73,3.21,2.71
운수·창고·통신업,통신업,1.22,0.92,1.05,0.85,0.87,0.78,0.3,0.9,0.77,0.77,1,0.45,0.21,0.43,1.12,0.67,0.68,0.41,0.38,0.1
임  업,임업,2.19,1.46,1.91,1.8,2.11,2.56,3.5,2.03,2.85,2.69,4.39,1.85,1.39,1.93,1.45,1.85,1.68,1.18,1.04,1.23
어  업,어업,38.33,11.34,3.65,3.61,5.56,10.2,12.45,8.88,2.43,2.3,5.05,1.87,0,5.67,1.85,5.86,2.01,6.05,1.8,6.93
농  업,농업,6.73,3.95,2.51,2.31,2.12,2.12,1.93,1.25,3.44,1.38,2.43,1.31,0.49,0.79,1.68,1.13,1.27,1.39,1.43,1.28
기타의사업,시설관리및사업지원서비스업,2.06,1.69,1.48,1.12,1,0.8,0.62,0.7,0.76,0.95,0.68,0.67,0.56,0.66,0.87,0.86,0.65,0.87,0.91,0.67
기타의사업,기타의각종사업,1.27,1.01,0.66,0.81,0.5,0.48,0.5,0.52,0.42,0.49,0.44,0.31,0.36,0.37,0.38,0.53,0.55,0.43,0.6,0.36
기타의사업,해외파견자,0,1.25,0.38,0,0.35,0.34,0,0.44,2.15,1.19,1.8,1.9,0.56,0.55,0.44,0.21,0.9,0.63,0.61,0.2
기타의사업,전문·보건·교육·여가관련서비스업,0.55,0.43,0.42,0.43,0.26,0.23,0.19,0.16,0.16,0.17,0.18,0.17,0.16,0.17,0.2,0.15,0.2,0.23,0.18,0.13
기타의사업,도소매·음식·숙박업,1.04,0.89,0.73,0.62,0.7,0.6,0.52,0.54,0.44,0.4,0.43,0.35,0.35,0.3,0.39,0.35,0.35,0.37,0.33,0.33
기타의사업,부동산업및임대업,2.16,0.54,0.67,0.5,0.6,0.26,1.32,0.24,0.23,0.57,0.31,0.19,0.17,0.58,0.15,0.31,0.23,0.72,0.66,0.13
기타의사업,국가및지방자치단체의사업,0,0,0,0,0,0,0,0,0,0.33,0.17,0.16,0,0.32,0.42,0.37,0.36,0.24,0.46,0.34
기타의사업,주한미군,0,0.58,0,0.58,1.16,0.52,0,0,0.52,1.56,1.04,0,0,0,0,0.46,0.46,0.91,0.46,0
